ID,label-0,label-1
1.nii.gz,0.0491696,0.9508304
104.nii.gz,0.9362725,0.06372747
105.nii.gz,0.078929305,0.9210707
107.nii.gz,0.83850193,0.1614981
108.nii.gz,0.9162734,0.08372658
11.nii.gz,0.0491696,0.9508304
110.nii.gz,0.097889066,0.90211093
113.nii.gz,0.9133347,0.08666527
114.nii.gz,0.9362725,0.06372747
116.nii.gz,0.9487833,0.051216695
118.nii.gz,0.6611568,0.33884326
119.nii.gz,0.30302662,0.6969734
12.nii.gz,0.0491696,0.9508304
15.nii.gz,0.04880154,0.95119846
17.nii.gz,0.141945,0.858055
19.nii.gz,0.08287835,0.91712165
2.nii.gz,0.12900418,0.8709958
20.nii.gz,0.16906041,0.8309396
21.nii.gz,0.12901431,0.8709857
22.nii.gz,0.12901431,0.8709857
23.nii.gz,0.048458934,0.95154107
25.nii.gz,0.37363726,0.62636274
27.nii.gz,0.07502657,0.9249734
28.nii.gz,0.27545816,0.72454184
29.nii.gz,0.06306791,0.9369321
3.nii.gz,0.03893906,0.96106094
30.nii.gz,0.05672604,0.94327396
33.nii.gz,0.062247157,0.93775284
34.nii.gz,0.119966865,0.88003314
36.nii.gz,0.03893906,0.96106094
37.nii.gz,0.1044904,0.8955096
38.nii.gz,0.3971302,0.6028698
39.nii.gz,0.2495842,0.7504158
4.nii.gz,0.04880154,0.95119846
40.nii.gz,0.12901431,0.8709857
42.nii.gz,0.28308392,0.7169161
44.nii.gz,0.1044904,0.8955096
45.nii.gz,0.063283026,0.936717
47.nii.gz,0.0491696,0.9508304
49.nii.gz,0.0491696,0.9508304
50.nii.gz,0.067239225,0.9327608
52.nii.gz,0.04360789,0.9563921
53.nii.gz,0.06306791,0.9369321
54.nii.gz,0.34136105,0.65863895
55.nii.gz,0.08038145,0.91961855
56.nii.gz,0.5952375,0.4047625
57.nii.gz,0.9345208,0.06547921
61.nii.gz,0.82362336,0.17637663
63.nii.gz,0.7992301,0.20076993
64.nii.gz,0.86382014,0.13617986
65.nii.gz,0.46197468,0.5380253
67.nii.gz,0.83168155,0.16831845
69.nii.gz,0.51174897,0.48825103
70.nii.gz,0.9345208,0.06547921
72.nii.gz,0.8429931,0.15700692
73.nii.gz,0.14129502,0.858705
75.nii.gz,0.91731346,0.08268651
77.nii.gz,0.7938044,0.20619556
78.nii.gz,0.79728764,0.20271234
8.nii.gz,0.1044904,0.8955096
80.nii.gz,0.30302662,0.6969734
82.nii.gz,0.067239225,0.9327608
83.nii.gz,0.91708964,0.08291034
84.nii.gz,0.86382014,0.13617986
89.nii.gz,0.92551565,0.07448436
91.nii.gz,0.28257883,0.7174212
92.nii.gz,0.673106,0.326894
93.nii.gz,0.9362725,0.06372747
94.nii.gz,0.92232543,0.07767455
97.nii.gz,0.78301406,0.21698593
98.nii.gz,0.9162734,0.08372658
